  Iteration information for myTAO_ solve.
268 TAO,  Function value: 0.0207469,  Residual: 2.26554e-05 
269 TAO,  Function value: 0.0207467,  Residual: 6.90468e-05 
270 TAO,  Function value: 0.0207467,  Residual: 4.96542e-06 
271 TAO,  Function value: 0.0207467,  Residual: 0.000248674 
272 TAO,  Function value: 0.0207467,  Residual: 0.000248544 
273 TAO,  Function value: 0.0207467,  Residual: 4.71028e-06 
274 TAO,  Function value: 0.0207467,  Residual: 6.88767e-05 
275 TAO,  Function value: 0.0207464,  Residual: 0.000139429 
276 TAO,  Function value: 0.0207463,  Residual: 0.000226762 
277 TAO,  Function value: 0.0207463,  Residual: 0.000226761 
278 TAO,  Function value: 0.0207462,  Residual: 6.40974e-05 
279 TAO,  Function value: 0.0207462,  Residual: 6.6137e-05 
280 TAO,  Function value: 0.0207462,  Residual: 1.35987e-06 
281 TAO,  Function value: 0.0207462,  Residual: 0.000249202 
282 TAO,  Function value: 0.0207462,  Residual: 0.000249207 
283 TAO,  Function value: 0.0207461,  Residual: 1.29492e-06 
284 TAO,  Function value: 0.0207459,  Residual: 6.59836e-05 
285 TAO,  Function value: 0.0207454,  Residual: 0.000254984 
286 TAO,  Function value: 0.0207454,  Residual: 7.35931e-05 
287 TAO,  Function value: 0.0207454,  Residual: 7.35092e-05 
288 TAO,  Function value: 0.0207453,  Residual: 4.41089e-06 
289 TAO,  Function value: 0.0207453,  Residual: 0.000247149 
290 TAO,  Function value: 0.0207453,  Residual: 0.000247148 
291 TAO,  Function value: 0.0207453,  Residual: 4.34269e-06 
292 TAO,  Function value: 0.0207452,  Residual: 7.34448e-05 
293 TAO,  Function value: 0.0207452,  Residual: 0.000247124 
294 TAO,  Function value: 0.0207451,  Residual: 0.000247118 
295 TAO,  Function value: 0.0207451,  Residual: 1.80911e-06 
296 TAO,  Function value: 0.020745,  Residual: 7.33492e-05 
297 TAO,  Function value: 0.0207449,  Residual: 0.000249236 
298 TAO,  Function value: 0.0207449,  Residual: 3.30922e-05 
299 TAO,  Function value: 0.0207449,  Residual: 2.27298e-06 
300 TAO,  Function value: 0.0207449,  Residual: 0.00025564 
301 TAO,  Function value: 0.0207449,  Residual: 0.000255637 
302 TAO,  Function value: 0.0207449,  Residual: 1.99832e-06 
303 TAO,  Function value: 0.0207448,  Residual: 3.30451e-05 
304 TAO,  Function value: 0.0207448,  Residual: 0.000254428 
305 TAO,  Function value: 0.0207448,  Residual: 0.000256525 
306 TAO,  Function value: 0.0207448,  Residual: 0.000255591 
307 TAO,  Function value: 0.0207448,  Residual: 0.000255369 
308 TAO,  Function value: 0.0207448,  Residual: 3.27469e-05 
309 TAO,  Function value: 0.0207448,  Residual: 1.4383e-06 
310 TAO,  Function value: 0.0207447,  Residual: 0.000255661 
311 TAO,  Function value: 0.0207447,  Residual: 3.27897e-05 
312 TAO,  Function value: 0.0207446,  Residual: 0.00025566 
313 TAO,  Function value: 0.0207444,  Residual: 0.000257732 
314 TAO,  Function value: 0.0207438,  Residual: 0.000257658 
315 TAO,  Function value: 0.0207436,  Residual: 0.000255188 
316 TAO,  Function value: 0.0207432,  Residual: 0.000255185 
317 TAO,  Function value: 0.0207427,  Residual: 0.000257562 
318 TAO,  Function value: 0.020742,  Residual: 0.000254664 
319 TAO,  Function value: 0.0207417,  Residual: 4.68986e-05 
