  Iteration information for myTAO_ solve.
162 TAO,  Function value: 0.0205751,  Residual: 8.15934e-06 
163 TAO,  Function value: 0.0205751,  Residual: 1.12698e-06 
164 TAO,  Function value: 0.0205751,  Residual: 7.94949e-06 
165 TAO,  Function value: 0.0205751,  Residual: 8.00624e-06 
166 TAO,  Function value: 0.020575,  Residual: 7.88464e-06 
167 TAO,  Function value: 0.020575,  Residual: 8.05684e-06 
168 TAO,  Function value: 0.020575,  Residual: 8.0262e-06 
169 TAO,  Function value: 0.0205749,  Residual: 7.99389e-06 
170 TAO,  Function value: 0.0205745,  Residual: 8.04496e-06 
171 TAO,  Function value: 0.0205744,  Residual: 3.92049e-06 
172 TAO,  Function value: 0.0205735,  Residual: 2.14633e-06 
173 TAO,  Function value: 0.0205729,  Residual: 2.34602e-06 
174 TAO,  Function value: 0.0205725,  Residual: 2.68319e-06 
175 TAO,  Function value: 0.0205725,  Residual: 2.92895e-06 
176 TAO,  Function value: 0.0205721,  Residual: 2.27275e-06 
177 TAO,  Function value: 0.0205717,  Residual: 1.96845e-06 
178 TAO,  Function value: 0.0205716,  Residual: 2.39946e-06 
179 TAO,  Function value: 0.0205716,  Residual: 2.29082e-06 
180 TAO,  Function value: 0.0205711,  Residual: 1.57959e-06 
181 TAO,  Function value: 0.0205706,  Residual: 1.62246e-06 
182 TAO,  Function value: 0.0205704,  Residual: 2.13262e-06 
183 TAO,  Function value: 0.0205703,  Residual: 1.95997e-06 
184 TAO,  Function value: 0.0205701,  Residual: 1.72455e-06 
185 TAO,  Function value: 0.0205697,  Residual: 2.33575e-06 
186 TAO,  Function value: 0.0205695,  Residual: 2.52816e-06 
187 TAO,  Function value: 0.0205695,  Residual: 2.49873e-06 
188 TAO,  Function value: 0.0205692,  Residual: 2.43842e-06 
189 TAO,  Function value: 0.0205688,  Residual: 2.7314e-06 
190 TAO,  Function value: 0.0205687,  Residual: 2.76246e-06 
191 TAO,  Function value: 0.0205686,  Residual: 2.73808e-06 
192 TAO,  Function value: 0.0205683,  Residual: 2.62721e-06 
193 TAO,  Function value: 0.0205679,  Residual: 2.45928e-06 
194 TAO,  Function value: 0.0205675,  Residual: 2.86664e-06 
195 TAO,  Function value: 0.0205669,  Residual: 3.0778e-06 
196 TAO,  Function value: 0.0205668,  Residual: 3.72846e-06 
197 TAO,  Function value: 0.0205667,  Residual: 4.37052e-06 
198 TAO,  Function value: 0.0205663,  Residual: 4.4947e-06 
199 TAO,  Function value: 0.0205659,  Residual: 4.11514e-06 
200 TAO,  Function value: 0.0205649,  Residual: 3.69651e-06 
201 TAO,  Function value: 0.0205639,  Residual: 3.89854e-06 
202 TAO,  Function value: 0.0205632,  Residual: 3.64035e-06 
203 TAO,  Function value: 0.0205625,  Residual: 3.10441e-06 
204 TAO,  Function value: 0.0205619,  Residual: 3.54422e-06 
205 TAO,  Function value: 0.0205619,  Residual: 3.52589e-06 
206 TAO,  Function value: 0.0205617,  Residual: 3.25794e-06 
207 TAO,  Function value: 0.0205608,  Residual: 2.09401e-06 
208 TAO,  Function value: 0.0205601,  Residual: 2.16909e-06 
209 TAO,  Function value: 0.0205596,  Residual: 2.2236e-06 
210 TAO,  Function value: 0.0205591,  Residual: 2.57278e-06 
211 TAO,  Function value: 0.0205584,  Residual: 2.38187e-06 
212 TAO,  Function value: 0.0205579,  Residual: 2.96656e-06 
213 TAO,  Function value: 0.0205578,  Residual: 2.84028e-06 
214 TAO,  Function value: 0.0205577,  Residual: 2.82472e-06 
215 TAO,  Function value: 0.0205575,  Residual: 2.80544e-06 
216 TAO,  Function value: 0.0205567,  Residual: 2.52414e-06 
217 TAO,  Function value: 0.020556,  Residual: 3.92514e-06 
218 TAO,  Function value: 0.0205555,  Residual: 4.91475e-06 
219 TAO,  Function value: 0.0205554,  Residual: 5.02634e-06 
220 TAO,  Function value: 0.020555,  Residual: 4.83216e-06 
221 TAO,  Function value: 0.0205538,  Residual: 5.04556e-06 
222 TAO,  Function value: 0.0205534,  Residual: 5.96268e-06 
223 TAO,  Function value: 0.020552,  Residual: 5.21719e-06 
224 TAO,  Function value: 0.0205499,  Residual: 3.51482e-06 
225 TAO,  Function value: 0.0205489,  Residual: 4.17415e-06 
226 TAO,  Function value: 0.0205487,  Residual: 4.238e-06 
227 TAO,  Function value: 0.0205479,  Residual: 4.05058e-06 
228 TAO,  Function value: 0.0205463,  Residual: 4.26379e-06 
229 TAO,  Function value: 0.0205451,  Residual: 6.10274e-06 
230 TAO,  Function value: 0.020545,  Residual: 6.01368e-06 
231 TAO,  Function value: 0.0205449,  Residual: 6.01511e-06 
232 TAO,  Function value: 0.0205431,  Residual: 5.69553e-06 
233 TAO,  Function value: 0.0205396,  Residual: 1.02085e-05 
234 TAO,  Function value: 0.0205388,  Residual: 1.13118e-05 
235 TAO,  Function value: 0.0205374,  Residual: 1.12681e-05 
236 TAO,  Function value: 0.0205369,  Residual: 1.11554e-05 
237 TAO,  Function value: 0.0205351,  Residual: 1.03424e-05 
238 TAO,  Function value: 0.0205325,  Residual: 9.8044e-06 
239 TAO,  Function value: 0.0205274,  Residual: 6.78086e-06 
240 TAO,  Function value: 0.0205234,  Residual: 3.8368e-06 
241 TAO,  Function value: 0.0205217,  Residual: 2.69832e-06 
242 TAO,  Function value: 0.0205204,  Residual: 2.47265e-06 
243 TAO,  Function value: 0.0205193,  Residual: 2.90361e-06 
244 TAO,  Function value: 0.0205184,  Residual: 3.29726e-06 
245 TAO,  Function value: 0.020518,  Residual: 3.50473e-06 
246 TAO,  Function value: 0.0205173,  Residual: 3.35353e-06 
247 TAO,  Function value: 0.0205169,  Residual: 3.47587e-06 
248 TAO,  Function value: 0.0205166,  Residual: 4.03529e-06 
249 TAO,  Function value: 0.0205162,  Residual: 4.73269e-06 
250 TAO,  Function value: 0.020516,  Residual: 5.01532e-06 
251 TAO,  Function value: 0.0205157,  Residual: 4.58425e-06 
252 TAO,  Function value: 0.0205147,  Residual: 3.92812e-06 
253 TAO,  Function value: 0.0205133,  Residual: 4.73843e-06 
254 TAO,  Function value: 0.0205114,  Residual: 3.23957e-06 
255 TAO,  Function value: 0.0205101,  Residual: 2.73761e-06 
256 TAO,  Function value: 0.0205096,  Residual: 2.8727e-06 
257 TAO,  Function value: 0.0205096,  Residual: 2.79525e-06 
258 TAO,  Function value: 0.0205093,  Residual: 2.41293e-06 
259 TAO,  Function value: 0.0205088,  Residual: 0.000147785 
260 TAO,  Function value: 0.0205087,  Residual: 2.94759e-06 
261 TAO,  Function value: 0.0205087,  Residual: 2.56849e-06 
262 TAO,  Function value: 0.0205087,  Residual: 4.22415e-06 
263 TAO,  Function value: 0.0205087,  Residual: 2.51622e-06 
264 TAO,  Function value: 0.0205087,  Residual: 2.26561e-06 
265 TAO,  Function value: 0.0205086,  Residual: 0.000147783 
266 TAO,  Function value: 0.0205084,  Residual: 2.68779e-06 
267 TAO,  Function value: 0.0205084,  Residual: 3.48684e-06 
268 TAO,  Function value: 0.0205083,  Residual: 9.52843e-06 
269 TAO,  Function value: 0.0205082,  Residual: 2.7514e-06 
270 TAO,  Function value: 0.0205082,  Residual: 2.59416e-06 
271 TAO,  Function value: 0.0205082,  Residual: 0.000147767 
272 TAO,  Function value: 0.0205078,  Residual: 0.000147784 
273 TAO,  Function value: 0.0205077,  Residual: 2.65654e-06 
274 TAO,  Function value: 0.0205077,  Residual: 2.75034e-06 
275 TAO,  Function value: 0.0205071,  Residual: 6.84079e-05 
276 TAO,  Function value: 0.020507,  Residual: 0.000130969 
277 TAO,  Function value: 0.020507,  Residual: 0.00012947 
278 TAO,  Function value: 0.0205069,  Residual: 8.80785e-06 
279 TAO,  Function value: 0.0205069,  Residual: 4.16048e-05 
280 TAO,  Function value: 0.0205069,  Residual: 4.14481e-05 
281 TAO,  Function value: 0.0205069,  Residual: 4.06982e-05 
282 TAO,  Function value: 0.0205069,  Residual: 4.36512e-05 
283 TAO,  Function value: 0.0205069,  Residual: 2.05857e-06 
284 TAO,  Function value: 0.0205069,  Residual: 0.000141214 
285 TAO,  Function value: 0.0205069,  Residual: 0.000141224 
286 TAO,  Function value: 0.0205069,  Residual: 1.69942e-06 
287 TAO,  Function value: 0.0205069,  Residual: 4.36108e-05 
288 TAO,  Function value: 0.0205067,  Residual: 0.000146962 
289 TAO,  Function value: 0.0205067,  Residual: 0.000146784 
290 TAO,  Function value: 0.0205067,  Residual: 4.56974e-05 
291 TAO,  Function value: 0.0205067,  Residual: 4.71421e-05 
292 TAO,  Function value: 0.0205067,  Residual: 4.32118e-05 
293 TAO,  Function value: 0.0205067,  Residual: 4.44871e-05 
294 TAO,  Function value: 0.0205066,  Residual: 1.25285e-06 
295 TAO,  Function value: 0.0205066,  Residual: 0.000140987 
296 TAO,  Function value: 0.0205066,  Residual: 0.000140981 
297 TAO,  Function value: 0.0205066,  Residual: 1.21632e-06 
298 TAO,  Function value: 0.0205066,  Residual: 4.43702e-05 
299 TAO,  Function value: 0.0205065,  Residual: 0.00014674 
300 TAO,  Function value: 0.0205065,  Residual: 0.000147123 
301 TAO,  Function value: 0.0205065,  Residual: 8.16107e-05 
302 TAO,  Function value: 0.0205065,  Residual: 4.43642e-05 
303 TAO,  Function value: 0.0205065,  Residual: 4.45921e-05 
304 TAO,  Function value: 0.0205065,  Residual: 4.49032e-05 
305 TAO,  Function value: 0.0205065,  Residual: 4.11111e-05 
306 TAO,  Function value: 0.0205065,  Residual: 4.25241e-05 
307 TAO,  Function value: 0.0205065,  Residual: 1.33016e-06 
308 TAO,  Function value: 0.0205065,  Residual: 0.000141631 
309 TAO,  Function value: 0.0205065,  Residual: 0.000141624 
310 TAO,  Function value: 0.0205065,  Residual: 1.3043e-06 
311 TAO,  Function value: 0.0205064,  Residual: 4.22911e-05 
312 TAO,  Function value: 0.0205064,  Residual: 0.000144223 
313 TAO,  Function value: 0.0205064,  Residual: 0.0001458 
314 TAO,  Function value: 0.0205063,  Residual: 1.09008e-06 
315 TAO,  Function value: 0.0205063,  Residual: 2.42716e-05 
316 TAO,  Function value: 0.0205062,  Residual: 2.23177e-05 
317 TAO,  Function value: 0.0205062,  Residual: 1.64001e-06 
