  Iteration information for myTAO_ solve.
138 TAO,  Function value: 0.020698,  Residual: 0.000224027 
139 TAO,  Function value: 0.020698,  Residual: 0.000224026 
140 TAO,  Function value: 0.0206976,  Residual: 3.00284e-06 
141 TAO,  Function value: 0.0206974,  Residual: 3.78058e-05 
142 TAO,  Function value: 0.0206972,  Residual: 2.25557e-05 
143 TAO,  Function value: 0.020697,  Residual: 6.22983e-05 
144 TAO,  Function value: 0.020697,  Residual: 1.38459e-05 
145 TAO,  Function value: 0.020697,  Residual: 0.000215809 
146 TAO,  Function value: 0.020697,  Residual: 0.00021877 
147 TAO,  Function value: 0.0206969,  Residual: 5.97489e-06 
148 TAO,  Function value: 0.0206969,  Residual: 5.05586e-05 
149 TAO,  Function value: 0.0206968,  Residual: 4.5226e-05 
150 TAO,  Function value: 0.0206968,  Residual: 6.01229e-05 
151 TAO,  Function value: 0.0206968,  Residual: 6.06179e-05 
152 TAO,  Function value: 0.0206967,  Residual: 5.027e-05 
153 TAO,  Function value: 0.0206966,  Residual: 5.02235e-05 
154 TAO,  Function value: 0.0206966,  Residual: 4.8631e-05 
155 TAO,  Function value: 0.0206966,  Residual: 4.52471e-05 
156 TAO,  Function value: 0.0206965,  Residual: 3.21595e-06 
157 TAO,  Function value: 0.0206965,  Residual: 0.000219552 
158 TAO,  Function value: 0.0206965,  Residual: 0.000219544 
159 TAO,  Function value: 0.0206962,  Residual: 3.49444e-06 
160 TAO,  Function value: 0.0206962,  Residual: 9.71165e-06 
161 TAO,  Function value: 0.0206962,  Residual: 4.81763e-06 
162 TAO,  Function value: 0.0206962,  Residual: 3.30989e-06 
163 TAO,  Function value: 0.0206961,  Residual: 0.000224126 
164 TAO,  Function value: 0.020696,  Residual: 0.000224113 
165 TAO,  Function value: 0.0206958,  Residual: 0.00022409 
166 TAO,  Function value: 0.0206958,  Residual: 0.000224087 
167 TAO,  Function value: 0.0206957,  Residual: 0.000224046 
168 TAO,  Function value: 0.0206949,  Residual: 0.000221435 
169 TAO,  Function value: 0.0206946,  Residual: 3.49359e-06 
170 TAO,  Function value: 0.0206943,  Residual: 2.89534e-06 
171 TAO,  Function value: 0.0206939,  Residual: 2.96831e-06 
172 TAO,  Function value: 0.0206936,  Residual: 4.79644e-06 
173 TAO,  Function value: 0.0206936,  Residual: 6.86453e-06 
174 TAO,  Function value: 0.0206934,  Residual: 5.19035e-06 
175 TAO,  Function value: 0.0206934,  Residual: 5.41214e-06 
176 TAO,  Function value: 0.0206932,  Residual: 5.16926e-06 
177 TAO,  Function value: 0.0206932,  Residual: 5.16006e-06 
178 TAO,  Function value: 0.020693,  Residual: 4.30472e-06 
179 TAO,  Function value: 0.0206928,  Residual: 3.84458e-06 
180 TAO,  Function value: 0.0206928,  Residual: 3.82584e-06 
181 TAO,  Function value: 0.0206927,  Residual: 3.8427e-06 
182 TAO,  Function value: 0.0206926,  Residual: 4.11205e-06 
183 TAO,  Function value: 0.0206926,  Residual: 4.1857e-06 
184 TAO,  Function value: 0.0206925,  Residual: 4.22662e-06 
185 TAO,  Function value: 0.0206924,  Residual: 4.23119e-06 
186 TAO,  Function value: 0.0206924,  Residual: 4.21968e-06 
187 TAO,  Function value: 0.0206923,  Residual: 4.18319e-06 
188 TAO,  Function value: 0.0206923,  Residual: 4.1732e-06 
189 TAO,  Function value: 0.0206922,  Residual: 4.18309e-06 
190 TAO,  Function value: 0.020692,  Residual: 4.06956e-06 
191 TAO,  Function value: 0.0206919,  Residual: 3.95434e-06 
192 TAO,  Function value: 0.0206917,  Residual: 4.04222e-06 
193 TAO,  Function value: 0.0206916,  Residual: 3.87932e-06 
194 TAO,  Function value: 0.0206915,  Residual: 3.78146e-06 
195 TAO,  Function value: 0.0206914,  Residual: 3.75083e-06 
196 TAO,  Function value: 0.0206914,  Residual: 3.63191e-06 
197 TAO,  Function value: 0.0206913,  Residual: 3.56164e-06 
198 TAO,  Function value: 0.0206912,  Residual: 3.59347e-06 
199 TAO,  Function value: 0.0206912,  Residual: 3.481e-06 
200 TAO,  Function value: 0.0206912,  Residual: 3.4308e-06 
201 TAO,  Function value: 0.0206911,  Residual: 3.39764e-06 
202 TAO,  Function value: 0.0206911,  Residual: 3.3411e-06 
203 TAO,  Function value: 0.020691,  Residual: 3.19517e-06 
204 TAO,  Function value: 0.020691,  Residual: 3.10131e-06 
205 TAO,  Function value: 0.020691,  Residual: 2.96812e-06 
206 TAO,  Function value: 0.020691,  Residual: 2.85445e-06 
207 TAO,  Function value: 0.0206909,  Residual: 2.7662e-06 
208 TAO,  Function value: 0.0206909,  Residual: 2.71796e-06 
209 TAO,  Function value: 0.0206909,  Residual: 2.70753e-06 
210 TAO,  Function value: 0.0206908,  Residual: 2.91914e-06 
211 TAO,  Function value: 0.0206908,  Residual: 2.82422e-06 
212 TAO,  Function value: 0.0206908,  Residual: 2.85574e-06 
213 TAO,  Function value: 0.0206907,  Residual: 2.92265e-06 
214 TAO,  Function value: 0.0206907,  Residual: 3.19954e-06 
215 TAO,  Function value: 0.0206907,  Residual: 3.05803e-06 
216 TAO,  Function value: 0.0206906,  Residual: 3.01881e-06 
217 TAO,  Function value: 0.0206906,  Residual: 2.99779e-06 
218 TAO,  Function value: 0.0206905,  Residual: 3.05775e-06 
219 TAO,  Function value: 0.0206905,  Residual: 2.93298e-06 
220 TAO,  Function value: 0.0206905,  Residual: 2.8918e-06 
221 TAO,  Function value: 0.0206905,  Residual: 2.87451e-06 
222 TAO,  Function value: 0.0206905,  Residual: 2.92919e-06 
223 TAO,  Function value: 0.0206904,  Residual: 2.82309e-06 
224 TAO,  Function value: 0.0206904,  Residual: 2.78945e-06 
225 TAO,  Function value: 0.0206904,  Residual: 2.77325e-06 
226 TAO,  Function value: 0.0206904,  Residual: 2.82804e-06 
227 TAO,  Function value: 0.0206903,  Residual: 2.91943e-06 
228 TAO,  Function value: 0.0206903,  Residual: 2.99768e-06 
229 TAO,  Function value: 0.0206903,  Residual: 2.98793e-06 
230 TAO,  Function value: 0.0206903,  Residual: 2.98856e-06 
231 TAO,  Function value: 0.0206903,  Residual: 3.06222e-06 
232 TAO,  Function value: 0.0206903,  Residual: 3.03445e-06 
233 TAO,  Function value: 0.0206903,  Residual: 2.99839e-06 
234 TAO,  Function value: 0.0206903,  Residual: 2.972e-06 
235 TAO,  Function value: 0.0206902,  Residual: 2.86717e-06 
236 TAO,  Function value: 0.0206902,  Residual: 2.78875e-06 
237 TAO,  Function value: 0.0206902,  Residual: 2.65895e-06 
238 TAO,  Function value: 0.0206902,  Residual: 2.56418e-06 
239 TAO,  Function value: 0.0206901,  Residual: 2.56485e-06 
240 TAO,  Function value: 0.0206901,  Residual: 2.60055e-06 
241 TAO,  Function value: 0.0206901,  Residual: 2.6956e-06 
242 TAO,  Function value: 0.0206901,  Residual: 2.6188e-06 
243 TAO,  Function value: 0.0206901,  Residual: 2.6093e-06 
244 TAO,  Function value: 0.0206901,  Residual: 2.6242e-06 
245 TAO,  Function value: 0.02069,  Residual: 2.6786e-06 
246 TAO,  Function value: 0.02069,  Residual: 2.92105e-06 
247 TAO,  Function value: 0.02069,  Residual: 2.7693e-06 
248 TAO,  Function value: 0.0206899,  Residual: 2.75014e-06 
249 TAO,  Function value: 0.0206899,  Residual: 2.79738e-06 
250 TAO,  Function value: 0.0206898,  Residual: 2.86034e-06 
251 TAO,  Function value: 0.0206898,  Residual: 2.95643e-06 
252 TAO,  Function value: 0.0206897,  Residual: 2.89996e-06 
253 TAO,  Function value: 0.0206897,  Residual: 2.86813e-06 
254 TAO,  Function value: 0.0206897,  Residual: 2.84004e-06 
255 TAO,  Function value: 0.0206897,  Residual: 2.85687e-06 
256 TAO,  Function value: 0.0206896,  Residual: 2.842e-06 
257 TAO,  Function value: 0.0206896,  Residual: 2.99151e-06 
258 TAO,  Function value: 0.0206896,  Residual: 3.11532e-06 
259 TAO,  Function value: 0.0206896,  Residual: 3.02921e-06 
260 TAO,  Function value: 0.0206895,  Residual: 3.0216e-06 
261 TAO,  Function value: 0.0206895,  Residual: 3.02338e-06 
262 TAO,  Function value: 0.0206895,  Residual: 2.99311e-06 
263 TAO,  Function value: 0.0206895,  Residual: 3.0171e-06 
264 TAO,  Function value: 0.0206894,  Residual: 2.85012e-06 
265 TAO,  Function value: 0.0206894,  Residual: 2.80335e-06 
266 TAO,  Function value: 0.0206894,  Residual: 2.7585e-06 
267 TAO,  Function value: 0.0206894,  Residual: 2.74656e-06 
268 TAO,  Function value: 0.0206894,  Residual: 2.72311e-06 
269 TAO,  Function value: 0.0206894,  Residual: 2.70692e-06 
270 TAO,  Function value: 0.0206894,  Residual: 2.70061e-06 
271 TAO,  Function value: 0.0206894,  Residual: 2.6875e-06 
272 TAO,  Function value: 0.0206894,  Residual: 2.67956e-06 
