  Iteration information for myTAO_ solve.
203 TAO,  Function value: 0.0827146,  Residual: 0.000462097 
204 TAO,  Function value: 0.0827145,  Residual: 0.000447771 
205 TAO,  Function value: 0.0827115,  Residual: 0.000784853 
206 TAO,  Function value: 0.0827112,  Residual: 0.000447431 
207 TAO,  Function value: 0.0827112,  Residual: 0.000452355 
208 TAO,  Function value: 0.0827112,  Residual: 0.000442927 
209 TAO,  Function value: 0.0827112,  Residual: 0.000438445 
210 TAO,  Function value: 0.0827112,  Residual: 0.000436528 
211 TAO,  Function value: 0.0827111,  Residual: 0.000419735 
212 TAO,  Function value: 0.0827111,  Residual: 0.00040941 
213 TAO,  Function value: 0.0827109,  Residual: 0.000377618 
214 TAO,  Function value: 0.0827108,  Residual: 0.00025917 
215 TAO,  Function value: 0.0827108,  Residual: 0.000387733 
216 TAO,  Function value: 0.0827105,  Residual: 0.000350877 
217 TAO,  Function value: 0.0827103,  Residual: 0.000264794 
218 TAO,  Function value: 0.08271,  Residual: 0.000233462 
219 TAO,  Function value: 0.0827092,  Residual: 0.000228492 
220 TAO,  Function value: 0.082705,  Residual: 0.000218344 
221 TAO,  Function value: 0.0827036,  Residual: 0.000276044 
222 TAO,  Function value: 0.0826995,  Residual: 0.000350468 
223 TAO,  Function value: 0.082694,  Residual: 0.000133532 
224 TAO,  Function value: 0.0826913,  Residual: 0.000153135 
225 TAO,  Function value: 0.0826826,  Residual: 0.000117223 
226 TAO,  Function value: 0.0826744,  Residual: 0.00011321 
227 TAO,  Function value: 0.0826695,  Residual: 0.000113461 
228 TAO,  Function value: 0.0826629,  Residual: 0.000112543 
229 TAO,  Function value: 0.0826571,  Residual: 0.000116521 
230 TAO,  Function value: 0.0826502,  Residual: 0.000103108 
231 TAO,  Function value: 0.0826463,  Residual: 0.000112684 
232 TAO,  Function value: 0.0826432,  Residual: 0.000113313 
233 TAO,  Function value: 0.0826361,  Residual: 0.000113395 
234 TAO,  Function value: 0.0826295,  Residual: 6.99731e-05 
235 TAO,  Function value: 0.0826227,  Residual: 0.000113775 
236 TAO,  Function value: 0.0826215,  Residual: 0.000114075 
237 TAO,  Function value: 0.0826179,  Residual: 0.000113773 
238 TAO,  Function value: 0.0826083,  Residual: 2.84649e-05 
239 TAO,  Function value: 0.0825993,  Residual: 2.37919e-05 
240 TAO,  Function value: 0.0825929,  Residual: 4.09345e-05 
241 TAO,  Function value: 0.0825892,  Residual: 3.74903e-05 
242 TAO,  Function value: 0.0825889,  Residual: 2.95871e-05 
243 TAO,  Function value: 0.0825852,  Residual: 2.96708e-05 
244 TAO,  Function value: 0.0825785,  Residual: 2.88746e-05 
245 TAO,  Function value: 0.0825598,  Residual: 3.18685e-05 
246 TAO,  Function value: 0.0825389,  Residual: 2.80375e-05 
247 TAO,  Function value: 0.0825248,  Residual: 2.69241e-05 
248 TAO,  Function value: 0.0825128,  Residual: 2.6554e-05 
249 TAO,  Function value: 0.0825046,  Residual: 2.60798e-05 
250 TAO,  Function value: 0.0825034,  Residual: 3.21292e-05 
251 TAO,  Function value: 0.0824964,  Residual: 2.55573e-05 
252 TAO,  Function value: 0.0824899,  Residual: 2.46385e-05 
253 TAO,  Function value: 0.0824781,  Residual: 2.26663e-05 
254 TAO,  Function value: 0.0824666,  Residual: 2.17717e-05 
255 TAO,  Function value: 0.0824611,  Residual: 2.51276e-05 
256 TAO,  Function value: 0.082449,  Residual: 2.15719e-05 
257 TAO,  Function value: 0.0824408,  Residual: 2.18401e-05 
258 TAO,  Function value: 0.0824343,  Residual: 2.25016e-05 
259 TAO,  Function value: 0.082429,  Residual: 2.3713e-05 
260 TAO,  Function value: 0.0824217,  Residual: 2.36389e-05 
261 TAO,  Function value: 0.0824152,  Residual: 2.75336e-05 
262 TAO,  Function value: 0.082407,  Residual: 2.76989e-05 
