  Iteration information for myTAO_ solve.
297 TAO,  Function value: 0.0172433,  Residual: 5.89826e-07 
298 TAO,  Function value: 0.0172433,  Residual: 5.71104e-07 
299 TAO,  Function value: 0.0172433,  Residual: 5.51546e-07 
300 TAO,  Function value: 0.0172433,  Residual: 5.5418e-07 
301 TAO,  Function value: 0.0172433,  Residual: 7.01149e-07 
302 TAO,  Function value: 0.0172433,  Residual: 5.84701e-07 
303 TAO,  Function value: 0.0172433,  Residual: 5.7989e-07 
304 TAO,  Function value: 0.0172433,  Residual: 6.17472e-07 
305 TAO,  Function value: 0.0172433,  Residual: 6.64516e-07 
306 TAO,  Function value: 0.0172433,  Residual: 7.50914e-07 
307 TAO,  Function value: 0.0172433,  Residual: 6.80911e-07 
308 TAO,  Function value: 0.0172433,  Residual: 6.45591e-07 
309 TAO,  Function value: 0.0172433,  Residual: 6.39506e-07 
310 TAO,  Function value: 0.0172432,  Residual: 8.10808e-07 
311 TAO,  Function value: 0.0172432,  Residual: 6.83261e-07 
312 TAO,  Function value: 0.0172432,  Residual: 6.66069e-07 
313 TAO,  Function value: 0.0172432,  Residual: 6.68332e-07 
314 TAO,  Function value: 0.0172432,  Residual: 7.41086e-07 
315 TAO,  Function value: 0.0172432,  Residual: 6.92367e-07 
316 TAO,  Function value: 0.0172432,  Residual: 6.79713e-07 
317 TAO,  Function value: 0.0172432,  Residual: 6.8037e-07 
318 TAO,  Function value: 0.0172432,  Residual: 7.49752e-07 
319 TAO,  Function value: 0.0172432,  Residual: 6.77195e-07 
320 TAO,  Function value: 0.0172432,  Residual: 6.54505e-07 
321 TAO,  Function value: 0.0172432,  Residual: 6.4612e-07 
322 TAO,  Function value: 0.0172431,  Residual: 6.67159e-07 
323 TAO,  Function value: 0.0172431,  Residual: 7.71619e-07 
324 TAO,  Function value: 0.0172431,  Residual: 6.56074e-07 
325 TAO,  Function value: 0.0172431,  Residual: 6.38086e-07 
326 TAO,  Function value: 0.0172431,  Residual: 6.32516e-07 
327 TAO,  Function value: 0.0172431,  Residual: 6.31056e-07 
328 TAO,  Function value: 0.0172431,  Residual: 7.77072e-07 
329 TAO,  Function value: 0.0172431,  Residual: 6.31248e-07 
330 TAO,  Function value: 0.0172431,  Residual: 6.14264e-07 
331 TAO,  Function value: 0.0172431,  Residual: 6.19962e-07 
332 TAO,  Function value: 0.0172431,  Residual: 6.57436e-07 
333 TAO,  Function value: 0.0172431,  Residual: 6.65438e-07 
334 TAO,  Function value: 0.0172431,  Residual: 6.51813e-07 
335 TAO,  Function value: 0.0172431,  Residual: 6.47368e-07 
336 TAO,  Function value: 0.017243,  Residual: 6.94846e-07 
337 TAO,  Function value: 0.017243,  Residual: 6.24636e-07 
338 TAO,  Function value: 0.017243,  Residual: 5.97775e-07 
339 TAO,  Function value: 0.017243,  Residual: 5.91445e-07 
340 TAO,  Function value: 0.017243,  Residual: 7.04439e-07 
341 TAO,  Function value: 0.017243,  Residual: 6.38886e-07 
342 TAO,  Function value: 0.017243,  Residual: 6.17547e-07 
343 TAO,  Function value: 0.017243,  Residual: 6.18163e-07 
344 TAO,  Function value: 0.017243,  Residual: 7.45062e-07 
345 TAO,  Function value: 0.017243,  Residual: 6.65911e-07 
346 TAO,  Function value: 0.017243,  Residual: 6.68546e-07 
347 TAO,  Function value: 0.0172429,  Residual: 6.9369e-07 
348 TAO,  Function value: 0.0172429,  Residual: 7.68687e-07 
349 TAO,  Function value: 0.0172429,  Residual: 8.23253e-07 
350 TAO,  Function value: 0.0172429,  Residual: 7.4751e-07 
351 TAO,  Function value: 0.0172429,  Residual: 7.00469e-07 
352 TAO,  Function value: 0.0172429,  Residual: 6.89961e-07 
353 TAO,  Function value: 0.0172429,  Residual: 7.3712e-07 
354 TAO,  Function value: 0.0172429,  Residual: 7.00478e-07 
355 TAO,  Function value: 0.0172429,  Residual: 6.9049e-07 
356 TAO,  Function value: 0.0172429,  Residual: 6.88487e-07 
357 TAO,  Function value: 0.0172428,  Residual: 7.39108e-07 
358 TAO,  Function value: 0.0172428,  Residual: 6.65408e-07 
359 TAO,  Function value: 0.0172428,  Residual: 6.40392e-07 
360 TAO,  Function value: 0.0172428,  Residual: 6.27434e-07 
361 TAO,  Function value: 0.0172428,  Residual: 7.86968e-07 
362 TAO,  Function value: 0.0172428,  Residual: 6.17643e-07 
363 TAO,  Function value: 0.0172428,  Residual: 6.02543e-07 
364 TAO,  Function value: 0.0172428,  Residual: 6.05514e-07 
365 TAO,  Function value: 0.0172428,  Residual: 6.43264e-07 
